InvoiceNo,ShipmentDate,DeliveryDate,Courier,ShippingCost,Status
C537853,2010-12-10,2010-12-16,DHL,4.56,Delivered
537854,2010-12-08,2010-12-09,DHL,4.64,Delivered
537855,2010-12-09,2010-12-14,Hermes,3.86,Delivered
C537856,2010-12-10,2010-12-13,DHL,2.69,Delivered
C537857,2010-12-09,2010-12-15,Royal Mail,7.4,Delivered
537858,2010-12-08,2010-12-11,UPS,4.9,Delivered
537859,2010-12-10,2010-12-15,Royal Mail,5.72,Delivered
C537860,2010-12-09,2010-12-13,Hermes,3.5,Delivered
537861,2010-12-10,2010-12-12,FedEx,6.81,Delivered
537862,2010-12-08,2010-12-11,Royal Mail,7.36,Delivered
537863,2010-12-08,2010-12-10,Hermes,3.15,Delivered
537864,2010-12-08,2010-12-09,Royal Mail,5.08,Delivered
537865,2010-12-09,2010-12-11,DHL,7.26,Delivered
537866,2010-12-08,2010-12-13,UPS,5.24,Delivered
537867,2010-12-10,2010-12-13,FedEx,6.49,Delivered
537868,2010-12-08,2010-12-13,FedEx,7.19,Delivered
537870,2010-12-08,2010-12-10,DHL,7.04,Delivered
537871,2010-12-10,2010-12-11,UPS,7.03,Delivered
537872,2010-12-09,2010-12-16,FedEx,5.94,Delivered
537873,2010-12-09,2010-12-10,Hermes,3.15,Delivered
537874,2010-12-09,2010-12-14,FedEx,5.52,Delivered
537875,2010-12-10,2010-12-15,DHL,2.39,Delivered
537876,2010-12-09,2010-12-16,DHL,5.6,Delivered
537877,2010-12-10,2010-12-15,DHL,7.72,Delivered
537878,2010-12-08,2010-12-10,Hermes,8.77,Delivered
537879,2010-12-10,2010-12-16,Royal Mail,5.1,Delivered
537880,2010-12-11,2010-12-15,FedEx,4.97,Delivered
537881,2010-12-09,2010-12-11,Hermes,7.08,Delivered
537882,2010-12-09,2010-12-11,FedEx,4.78,Delivered
537883,2010-12-09,2010-12-10,DHL,6.94,Delivered
537884,2010-12-11,2010-12-14,UPS,3.54,Delivered
537885,2010-12-11,2010-12-12,Hermes,5.88,Delivered
537886,2010-12-10,2010-12-11,Hermes,5.61,Delivered
537887,2010-12-11,2010-12-12,UPS,4.45,Delivered
537888,2010-12-10,2010-12-13,FedEx,4.1,Delivered
537889,2010-12-10,2010-12-16,FedEx,4.34,Delivered
537890,2010-12-09,2010-12-11,DHL,6.45,Delivered
537891,2010-12-11,2010-12-12,DHL,6.72,Delivered
537892,2010-12-10,2010-12-14,Royal Mail,6.35,Delivered
C537893,2010-12-11,2010-12-14,DHL,2.87,Delivered
537894,2010-12-09,2010-12-10,DHL,5.66,Delivered
537895,2010-12-11,2010-12-14,Hermes,8.68,Delivered
537896,2010-12-10,2010-12-12,Royal Mail,5.95,Delivered
537897,2010-12-11,2010-12-13,FedEx,4.5,Delivered
537898,2010-12-10,2010-12-13,DHL,5.38,Delivered
537899,2010-12-09,2010-12-13,UPS,2.63,Delivered
537900,2010-12-09,2010-12-13,Royal Mail,4.13,Delivered
537901,2010-12-09,2010-12-10,Royal Mail,8.23,Delivered
537915,2010-12-09,2010-12-11,DHL,6.32,Delivered
537955,2010-12-10,2010-12-13,Royal Mail,3.65,Delivered
537963,2010-12-09,2010-12-10,Royal Mail,4.23,Delivered
537967,2010-12-09,2010-12-15,UPS,5.32,Delivered
537981,2010-12-10,2010-12-11,Royal Mail,4.18,Delivered
537995,2010-12-10,2010-12-11,DHL,6.89,Delivered
C537998,2010-12-11,2010-12-15,UPS,4.02,Delivered
537999,2010-12-09,2010-12-13,UPS,5.65,Delivered
538000,2010-12-09,2010-12-12,FedEx,6.23,Delivered
538001,2010-12-10,2010-12-12,Royal Mail,2.91,Delivered
538002,2010-12-11,2010-12-14,UPS,3.18,Delivered
538003,2010-12-10,2010-12-15,UPS,6.5,Delivered
538004,2010-12-09,2010-12-13,DHL,5.61,Delivered
538005,2010-12-11,2010-12-18,Hermes,5.03,Delivered
538006,2010-12-11,2010-12-18,Royal Mail,11.41,Delivered
538007,2010-12-10,2010-12-17,FedEx,1.54,Delivered
538008,2010-12-10,2010-12-15,Hermes,5.44,Delivered
538009,2010-12-10,2010-12-14,FedEx,5.75,Delivered
538010,2010-12-09,2010-12-10,FedEx,6.59,Delivered
538011,2010-12-09,2010-12-16,UPS,1.65,Delivered
538012,2010-12-09,2010-12-11,Royal Mail,4.37,Delivered
538013,2010-12-09,2010-12-15,DHL,4.62,Delivered
538014,2010-12-11,2010-12-12,DHL,8.66,Delivered
538015,2010-12-11,2010-12-18,UPS,2.66,Delivered
538032,2010-12-09,2010-12-11,DHL,8.02,Delivered
538035,2010-12-11,2010-12-14,FedEx,5.41,Delivered
538036,2010-12-11,2010-12-14,Hermes,4.75,Delivered
538037,2010-12-11,2010-12-13,Hermes,8.61,Delivered
538038,2010-12-10,2010-12-15,FedEx,3.79,Delivered
538039,2010-12-09,2010-12-13,Royal Mail,6.23,Delivered
538040,2010-12-09,2010-12-10,Hermes,5.78,Delivered
538041,2010-12-10,2010-12-11,FedEx,6.17,Delivered
538042,2010-12-09,2010-12-12,DHL,4.34,Delivered
538043,2010-12-10,2010-12-11,Royal Mail,6.87,Delivered
538044,2010-12-09,2010-12-16,Royal Mail,7.5,Delivered
538045,2010-12-11,2010-12-18,FedEx,6.88,Delivered
538046,2010-12-11,2010-12-15,Hermes,4.53,Delivered
538047,2010-12-09,2010-12-12,FedEx,2.6,Delivered
538048,2010-12-11,2010-12-15,UPS,9.9,Delivered
538049,2010-12-11,2010-12-14,DHL,4.32,Delivered
538050,2010-12-11,2010-12-18,FedEx,2.52,Delivered
538051,2010-12-09,2010-12-15,Hermes,5.77,Delivered
C538052,2010-12-11,2010-12-17,FedEx,3.21,Delivered
538053,2010-12-09,2010-12-11,Royal Mail,9.62,Delivered
538054,2010-12-10,2010-12-17,Hermes,3.46,Delivered
538055,2010-12-09,2010-12-11,Hermes,3.49,Delivered
538056,2010-12-11,2010-12-13,Hermes,8.31,Delivered
538057,2010-12-09,2010-12-13,DHL,4.61,Delivered
538058,2010-12-10,2010-12-13,DHL,5.7,Delivered
C538059,2010-12-11,2010-12-12,FedEx,3.52,Delivered
538060,2010-12-09,2010-12-15,Royal Mail,5.52,Delivered
538061,2010-12-10,2010-12-13,Royal Mail,4.88,Delivered
C538062,2010-12-10,2010-12-16,UPS,4.38,Delivered
538063,2010-12-09,2010-12-13,UPS,6.37,Delivered
538064,2010-12-10,2010-12-11,UPS,3.74,Delivered
538065,2010-12-11,2010-12-17,DHL,5.41,Delivered
C538066,2010-12-09,2010-12-12,Royal Mail,5.67,Delivered
538067,2010-12-10,2010-12-13,Royal Mail,6.09,Delivered
538068,2010-12-10,2010-12-12,Royal Mail,5.55,Delivered
538069,2010-12-11,2010-12-12,FedEx,2.71,Delivered
538070,2010-12-10,2010-12-16,Royal Mail,3.46,Delivered
538071,2010-12-10,2010-12-16,DHL,3.33,Delivered
538072,2010-12-09,2010-12-10,FedEx,3.67,Delivered
538073,2010-12-09,2010-12-11,UPS,3.96,Delivered
538074,2010-12-11,2010-12-16,FedEx,1.97,Delivered
C538075,2010-12-11,2010-12-14,FedEx,5.05,Delivered
538076,2010-12-11,2010-12-16,UPS,5.64,Delivered
538077,2010-12-09,2010-12-10,FedEx,5.86,Delivered
538078,2010-12-11,2010-12-17,Hermes,5.02,Delivered
538079,2010-12-10,2010-12-12,Royal Mail,6.21,Delivered
538080,2010-12-10,2010-12-11,UPS,5.2,Delivered
C538081,2010-12-09,2010-12-12,UPS,0.83,Delivered
C538082,2010-12-10,2010-12-11,Hermes,5.77,Delivered
C538083,2010-12-10,2010-12-12,FedEx,6.44,Delivered
C538084,2010-12-10,2010-12-11,FedEx,3.73,Delivered
C538085,2010-12-10,2010-12-14,FedEx,5.24,Delivered
538086,2010-12-09,2010-12-11,Royal Mail,6.56,Delivered
538087,2010-12-09,2010-12-15,FedEx,5.74,Delivered
C538088,2010-12-11,2010-12-13,Hermes,3.07,Delivered
C538089,2010-12-09,2010-12-16,UPS,5.87,Delivered
538090,2010-12-11,2010-12-17,UPS,3.11,Delivered
C538091,2010-12-11,2010-12-13,UPS,4.39,Delivered
538092,2010-12-11,2010-12-12,Hermes,6.91,Delivered
538093,2010-12-11,2010-12-16,Hermes,3.78,Delivered
538094,2010-12-09,2010-12-16,UPS,2.5,Delivered
538095,2010-12-09,2010-12-11,DHL,5.37,Delivered
538096,2010-12-10,2010-12-11,UPS,4.03,Delivered
538097,2010-12-09,2010-12-16,DHL,5.78,Delivered
C538098,2010-12-11,2010-12-18,Royal Mail,3.67,Delivered
C538099,2010-12-09,2010-12-13,Hermes,3.58,Delivered
C538100,2010-12-10,2010-12-15,UPS,6.07,Delivered
538101,2010-12-09,2010-12-16,Hermes,2.03,Delivered
C538102,2010-12-09,2010-12-13,DHL,3.18,Delivered
C538103,2010-12-09,2010-12-14,Hermes,0.51,Delivered
538104,2010-12-09,2010-12-10,Hermes,2.43,Delivered
C538105,2010-12-09,2010-12-16,FedEx,7.77,Delivered
538106,2010-12-10,2010-12-13,UPS,1.95,Delivered
538107,2010-12-11,2010-12-15,Hermes,4.57,Delivered
538108,2010-12-10,2010-12-14,DHL,4.65,Delivered
C538109,2010-12-11,2010-12-16,UPS,9.07,Delivered
C538110,2010-12-10,2010-12-16,DHL,6.01,Delivered
C538111,2010-12-09,2010-12-15,UPS,8.75,Delivered
C538112,2010-12-09,2010-12-12,FedEx,2.97,Delivered
538113,2010-12-10,2010-12-13,UPS,6.91,Delivered
C538114,2010-12-09,2010-12-11,FedEx,2.64,Delivered
C538115,2010-12-11,2010-12-15,FedEx,4.75,Delivered
538116,2010-12-11,2010-12-12,DHL,7.06,Delivered
538117,2010-12-10,2010-12-12,UPS,4.81,Delivered
C538118,2010-12-10,2010-12-17,Royal Mail,1.63,Delivered
C538119,2010-12-11,2010-12-18,DHL,7.88,Delivered
538120,2010-12-10,2010-12-12,Hermes,6.26,Delivered
C538121,2010-12-11,2010-12-12,DHL,6.33,Delivered
C538122,2010-12-09,2010-12-11,Royal Mail,8.54,Delivered
C538123,2010-12-10,2010-12-11,FedEx,4.55,Delivered
C538124,2010-12-10,2010-12-15,UPS,3.46,Delivered
538125,2010-12-11,2010-12-12,Royal Mail,5.12,Delivered
538126,2010-12-10,2010-12-12,UPS,7.31,Delivered
538127,2010-12-11,2010-12-16,FedEx,2.87,Delivered
538128,2010-12-10,2010-12-16,Royal Mail,8.16,Delivered
538129,2010-12-10,2010-12-11,UPS,8.73,Delivered
538130,2010-12-09,2010-12-16,DHL,6.2,Delivered
538131,2010-12-11,2010-12-13,DHL,4.75,Delivered
538132,2010-12-09,2010-12-16,Royal Mail,7.04,Delivered
538133,2010-12-10,2010-12-12,DHL,4.79,Delivered
538134,2010-12-10,2010-12-15,FedEx,4.85,Delivered
538135,2010-12-11,2010-12-17,FedEx,3.27,Delivered
538136,2010-12-10,2010-12-14,FedEx,5.9,Delivered
538137,2010-12-09,2010-12-13,FedEx,3.35,Delivered
538138,2010-12-10,2010-12-15,Royal Mail,1.65,Delivered
538139,2010-12-09,2010-12-14,FedEx,2.51,Delivered
538140,2010-12-10,2010-12-13,Royal Mail,3.99,Delivered
538141,2010-12-10,2010-12-11,FedEx,7.85,Delivered
538142,2010-12-10,2010-12-13,FedEx,4.79,Delivered
538143,2010-12-09,2010-12-11,Hermes,5.42,Delivered
538144,2010-12-11,2010-12-15,FedEx,0.73,Delivered
538145,2010-12-11,2010-12-13,Royal Mail,1.13,Delivered
538146,2010-12-10,2010-12-14,UPS,0.0,Delivered
538147,2010-12-10,2010-12-16,Royal Mail,0.0,Delivered
538148,2010-12-09,2010-12-12,DHL,1.77,Delivered
538149,2010-12-11,2010-12-16,UPS,7.49,Delivered
538151,2010-12-11,2010-12-14,DHL,3.35,Delivered
538153,2010-12-11,2010-12-16,DHL,4.39,Delivered
538154,2010-12-11,2010-12-14,Hermes,7.17,Delivered
538155,2010-12-09,2010-12-15,FedEx,4.2,Delivered
538156,2010-12-09,2010-12-15,FedEx,3.83,Delivered
538157,2010-12-10,2010-12-17,FedEx,3.16,Delivered
538158,2010-12-10,2010-12-17,Royal Mail,6.92,Delivered
538159,2010-12-10,2010-12-11,Hermes,2.56,Delivered
538160,2010-12-10,2010-12-12,Hermes,3.65,Delivered
538161,2010-12-09,2010-12-16,UPS,2.97,Delivered
538162,2010-12-09,2010-12-11,DHL,4.62,Delivered
538163,2010-12-10,2010-12-14,Hermes,9.59,Delivered
C538164,2010-12-09,2010-12-12,DHL,1.34,Delivered
538165,2010-12-09,2010-12-13,FedEx,4.15,Delivered
538166,2010-12-11,2010-12-12,Royal Mail,4.08,Delivered
538167,2010-12-10,2010-12-13,DHL,5.09,Delivered
538168,2010-12-09,2010-12-13,Royal Mail,3.79,Delivered
538169,2010-12-09,2010-12-14,UPS,3.64,Delivered
538170,2010-12-10,2010-12-14,Royal Mail,3.49,Delivered
538171,2010-12-09,2010-12-14,DHL,4.41,Delivered
538172,2010-12-11,2010-12-18,Hermes,0.14,Delivered
538173,2010-12-10,2010-12-11,Royal Mail,3.94,Delivered
538174,2010-12-12,2010-12-15,FedEx,3.92,Delivered
538175,2010-12-10,2010-12-11,UPS,3.29,Delivered
538176,2010-12-10,2010-12-17,Royal Mail,4.96,Delivered
538177,2010-12-11,2010-12-14,UPS,4.63,Delivered
538178,2010-12-11,2010-12-15,DHL,2.33,Delivered
538179,2010-12-11,2010-12-15,FedEx,5.0,Delivered
538180,2010-12-11,2010-12-12,DHL,3.8,Delivered
538181,2010-12-10,2010-12-16,DHL,5.1,Delivered
538182,2010-12-12,2010-12-14,Royal Mail,5.41,Delivered
538183,2010-12-11,2010-12-17,Royal Mail,2.98,Delivered
538184,2010-12-12,2010-12-17,Royal Mail,7.02,Delivered
538185,2010-12-12,2010-12-13,Royal Mail,4.77,Delivered
538186,2010-12-12,2010-12-13,UPS,4.67,Delivered
538187,2010-12-11,2010-12-15,Royal Mail,2.83,Delivered
538188,2010-12-10,2010-12-12,Royal Mail,4.34,Delivered
C538189,2010-12-11,2010-12-15,Royal Mail,4.17,Delivered
538190,2010-12-12,2010-12-18,DHL,3.65,Delivered
538191,2010-12-11,2010-12-18,Royal Mail,2.23,Delivered
538192,2010-12-11,2010-12-12,Royal Mail,4.8,Delivered
538193,2010-12-11,2010-12-13,Hermes,5.49,Delivered
538194,2010-12-12,2010-12-14,FedEx,6.49,Delivered
538195,2010-12-12,2010-12-16,FedEx,6.35,Delivered
538196,2010-12-10,2010-12-16,UPS,7.13,Delivered
538197,2010-12-11,2010-12-13,Royal Mail,5.86,Delivered
538198,2010-12-10,2010-12-17,Hermes,5.07,Delivered
538199,2010-12-12,2010-12-16,DHL,8.3,Delivered
538200,2010-12-10,2010-12-16,Royal Mail,3.91,Delivered
538201,2010-12-11,2010-12-17,DHL,0.0,Delivered
538202,2010-12-11,2010-12-15,Royal Mail,6.48,Delivered
538203,2010-12-10,2010-12-17,DHL,7.75,Delivered
538204,2010-12-11,2010-12-18,FedEx,2.22,Delivered
538205,2010-12-11,2010-12-17,Royal Mail,7.79,Delivered
538206,2010-12-10,2010-12-11,DHL,6.89,Delivered
538207,2010-12-12,2010-12-18,DHL,2.99,Delivered
538208,2010-12-12,2010-12-15,Royal Mail,8.73,Delivered
538209,2010-12-11,2010-12-18,FedEx,5.83,Delivered
538210,2010-12-11,2010-12-14,UPS,6.85,Delivered
538211,2010-12-12,2010-12-19,UPS,5.89,Delivered
538216,2010-12-10,2010-12-11,DHL,2.25,Delivered
538240,2010-12-12,2010-12-18,Royal Mail,8.83,Delivered
538241,2010-12-10,2010-12-14,Hermes,4.55,Delivered
538247,2010-12-11,2010-12-18,Hermes,4.45,Delivered
538248,2010-12-11,2010-12-18,FedEx,3.86,Delivered
538249,2010-12-12,2010-12-13,DHL,2.7,Delivered
538250,2010-12-11,2010-12-15,Royal Mail,5.25,Delivered
538252,2010-12-10,2010-12-13,FedEx,9.02,Delivered
538255,2010-12-12,2010-12-19,Hermes,5.31,Delivered
538260,2010-12-12,2010-12-17,DHL,7.95,Delivered
538263,2010-12-11,2010-12-16,Hermes,4.59,Delivered
538268,2010-12-12,2010-12-18,Hermes,7.43,Delivered
538279,2010-12-10,2010-12-14,FedEx,6.66,Delivered
538280,2010-12-12,2010-12-18,UPS,7.23,Delivered
538283,2010-12-12,2010-12-13,Royal Mail,8.01,Delivered
538288,2010-12-12,2010-12-14,Hermes,7.27,Delivered
538296,2010-12-10,2010-12-11,UPS,1.82,Delivered
538306,2010-12-11,2010-12-13,FedEx,5.63,Delivered
538307,2010-12-10,2010-12-15,UPS,4.88,Delivered
538308,2010-12-11,2010-12-18,DHL,6.91,Delivered
538309,2010-12-12,2010-12-16,Royal Mail,6.03,Delivered
538310,2010-12-11,2010-12-15,FedEx,6.72,Delivered
538311,2010-12-12,2010-12-13,Royal Mail,6.59,Delivered
538312,2010-12-11,2010-12-15,Royal Mail,4.97,Delivered
538313,2010-12-10,2010-12-17,Hermes,4.99,Delivered
C538314,2010-12-12,2010-12-18,FedEx,6.98,Delivered
538327,2010-12-12,2010-12-18,UPS,3.36,Delivered
C538341,2010-12-11,2010-12-14,Royal Mail,6.57,Delivered
538342,2010-12-11,2010-12-16,Hermes,1.48,Delivered
538343,2010-12-12,2010-12-16,FedEx,4.79,Delivered
C538344,2010-12-12,2010-12-14,Royal Mail,4.04,Delivered
538345,2010-12-11,2010-12-14,FedEx,3.15,Delivered
538346,2010-12-10,2010-12-11,DHL,4.43,Delivered
538347,2010-12-11,2010-12-13,UPS,7.15,Delivered
538348,2010-12-10,2010-12-11,UPS,6.71,Delivered
538349,2010-12-10,2010-12-14,DHL,4.8,Delivered
C538350,2010-12-11,2010-12-12,Hermes,4.07,Delivered
538351,2010-12-10,2010-12-17,UPS,2.43,Delivered
538352,2010-12-12,2010-12-14,UPS,5.71,Delivered
538353,2010-12-10,2010-12-15,Royal Mail,2.99,Delivered
538354,2010-12-12,2010-12-16,Hermes,4.3,Delivered
538355,2010-12-10,2010-12-16,Hermes,6.7,Delivered
538356,2010-12-10,2010-12-14,Hermes,8.26,Delivered
C538357,2010-12-12,2010-12-15,Hermes,6.53,Delivered
538358,2010-12-12,2010-12-18,DHL,3.59,Delivered
538359,2010-12-11,2010-12-15,FedEx,7.16,Delivered
538360,2010-12-10,2010-12-12,UPS,4.6,Delivered
538361,2010-12-12,2010-12-18,Hermes,4.06,Delivered
C538362,2010-12-11,2010-12-17,Hermes,7.96,Delivered
538363,2010-12-12,2010-12-14,DHL,5.79,Delivered
538364,2010-12-12,2010-12-15,DHL,8.07,Delivered
538365,2010-12-14,2010-12-20,DHL,1.92,Delivered
538366,2010-12-13,2010-12-19,Royal Mail,4.92,Delivered
538367,2010-12-13,2010-12-18,UPS,0.85,Delivered
538368,2010-12-14,2010-12-18,Hermes,2.62,Delivered
538369,2010-12-13,2010-12-20,UPS,5.87,Delivered
538370,2010-12-12,2010-12-16,DHL,2.73,Delivered
538371,2010-12-12,2010-12-18,Royal Mail,6.03,Delivered
C538372,2010-12-12,2010-12-15,FedEx,8.17,Delivered
C538373,2010-12-12,2010-12-19,Royal Mail,4.39,Delivered
538374,2010-12-14,2010-12-15,FedEx,3.44,Delivered
C538375,2010-12-13,2010-12-14,Hermes,7.22,Delivered
C538376,2010-12-12,2010-12-18,Hermes,2.58,Delivered
C538377,2010-12-13,2010-12-15,Hermes,5.77,Delivered
538378,2010-12-13,2010-12-19,Royal Mail,1.5,Delivered
538379,2010-12-13,2010-12-17,UPS,10.26,Delivered
538382,2010-12-13,2010-12-18,Royal Mail,3.53,Delivered
538397,2010-12-12,2010-12-18,FedEx,6.17,Delivered
538403,2010-12-13,2010-12-20,DHL,8.86,Delivered
538409,2010-12-14,2010-12-20,FedEx,5.08,Delivered
538417,2010-12-14,2010-12-16,DHL,2.49,Delivered
538418,2010-12-13,2010-12-17,DHL,5.78,Delivered
538419,2010-12-12,2010-12-18,Hermes,4.92,Delivered
538420,2010-12-12,2010-12-16,Royal Mail,2.7,Delivered
538421,2010-12-12,2010-12-14,Hermes,6.11,Delivered
538437,2010-12-13,2010-12-14,FedEx,0.4,Delivered
538449,2010-12-12,2010-12-14,FedEx,5.99,Delivered
538453,2010-12-14,2010-12-15,Hermes,5.94,Delivered
C538463,2010-12-14,2010-12-19,FedEx,3.59,Delivered
538470,2010-12-12,2010-12-19,FedEx,0.05,Delivered
538473,2010-12-14,2010-12-15,Hermes,4.2,Delivered
538488,2010-12-12,2010-12-16,Hermes,4.15,Delivered
538497,2010-12-12,2010-12-14,FedEx,4.8,Delivered
538499,2010-12-13,2010-12-16,FedEx,5.66,Delivered
538501,2010-12-14,2010-12-18,Hermes,8.28,Delivered
C538500,2010-12-14,2010-12-15,Royal Mail,3.94,Delivered
538503,2010-12-14,2010-12-19,Hermes,3.1,Delivered
538504,2010-12-12,2010-12-13,FedEx,2.38,Delivered
538507,2010-12-12,2010-12-16,FedEx,7.42,Delivered
538508,2010-12-14,2010-12-20,FedEx,7.38,Delivered
538509,2010-12-13,2010-12-18,Hermes,5.37,Delivered
538510,2010-12-13,2010-12-17,Royal Mail,4.16,Delivered
538511,2010-12-13,2010-12-18,Royal Mail,7.78,Delivered
538512,2010-12-12,2010-12-14,Hermes,2.25,Delivered
538513,2010-12-12,2010-12-18,DHL,4.42,Delivered
538514,2010-12-14,2010-12-18,Royal Mail,6.04,Delivered
538515,2010-12-14,2010-12-21,UPS,8.61,Delivered
538516,2010-12-14,2010-12-21,Royal Mail,4.98,Delivered
538517,2010-12-13,2010-12-19,FedEx,3.84,Delivered
538518,2010-12-12,2010-12-13,Royal Mail,8.35,Delivered
538519,2010-12-14,2010-12-15,Hermes,6.19,Delivered
538520,2010-12-12,2010-12-15,UPS,2.85,Delivered
538521,2010-12-14,2010-12-17,Royal Mail,6.82,Delivered
538522,2010-12-14,2010-12-20,Royal Mail,2.2,Delivered
538523,2010-12-15,2010-12-16,Hermes,4.38,Delivered
538524,2010-12-13,2010-12-19,Royal Mail,3.52,Delivered
538525,2010-12-14,2010-12-21,FedEx,6.84,Delivered
538526,2010-12-15,2010-12-16,FedEx,5.21,Delivered
538527,2010-12-14,2010-12-21,Royal Mail,2.86,Delivered
538528,2010-12-14,2010-12-16,Hermes,5.62,Delivered
538529,2010-12-15,2010-12-18,DHL,8.26,Delivered
C538530,2010-12-14,2010-12-20,FedEx,5.29,Delivered
538532,2010-12-15,2010-12-17,Royal Mail,4.92,Delivered
538533,2010-12-13,2010-12-14,Hermes,2.96,Delivered
C538531,2010-12-13,2010-12-16,DHL,3.58,Delivered
538534,2010-12-15,2010-12-21,FedEx,6.03,Delivered
538535,2010-12-15,2010-12-17,DHL,9.22,Delivered
C538536,2010-12-13,2010-12-15,Hermes,5.67,Delivered
538537,2010-12-13,2010-12-19,Hermes,3.87,Delivered
538541,2010-12-13,2010-12-20,Hermes,2.55,Delivered
538557,2010-12-14,2010-12-20,Royal Mail,5.61,Delivered
538558,2010-12-14,2010-12-15,DHL,4.65,Delivered
538565,2010-12-14,2010-12-17,DHL,2.72,Delivered
538566,2010-12-15,2010-12-21,DHL,7.25,Delivered
538567,2010-12-13,2010-12-16,UPS,6.63,Delivered
538576,2010-12-14,2010-12-17,Hermes,3.34,Delivered
538591,2010-12-13,2010-12-18,Hermes,2.41,Delivered
538592,2010-12-14,2010-12-21,FedEx,6.17,Delivered
538593,2010-12-14,2010-12-16,DHL,4.69,Delivered
538594,2010-12-15,2010-12-21,UPS,4.69,Delivered
C538595,2010-12-15,2010-12-21,FedEx,6.86,Delivered
538596,2010-12-14,2010-12-18,UPS,3.92,Delivered
538597,2010-12-15,2010-12-16,DHL,6.32,Delivered
538625,2010-12-15,2010-12-20,Royal Mail,7.16,Delivered
538626,2010-12-13,2010-12-18,DHL,1.68,Delivered
538627,2010-12-14,2010-12-20,Royal Mail,4.4,Delivered
C538628,2010-12-15,2010-12-21,Royal Mail,0.82,Delivered
538629,2010-12-15,2010-12-20,UPS,5.17,Delivered
538630,2010-12-13,2010-12-18,FedEx,3.63,Delivered
538631,2010-12-15,2010-12-20,UPS,4.36,Delivered
538633,2010-12-14,2010-12-16,Hermes,4.07,Delivered
538634,2010-12-15,2010-12-22,FedEx,6.57,Delivered
C538632,2010-12-13,2010-12-17,FedEx,6.76,Delivered
538635,2010-12-15,2010-12-16,DHL,7.09,Delivered
538636,2010-12-15,2010-12-21,DHL,2.04,Delivered
538637,2010-12-15,2010-12-17,UPS,6.4,Delivered
538638,2010-12-15,2010-12-21,DHL,7.18,Delivered
538639,2010-12-15,2010-12-21,UPS,5.53,Delivered
538640,2010-12-14,2010-12-16,Royal Mail,4.79,Delivered
538641,2010-12-14,2010-12-17,DHL,6.31,Delivered
C538642,2010-12-14,2010-12-18,UPS,5.36,Delivered
C538643,2010-12-14,2010-12-15,Royal Mail,6.76,Delivered
538644,2010-12-15,2010-12-20,FedEx,4.78,Delivered
538645,2010-12-15,2010-12-18,Hermes,3.81,Delivered
538646,2010-12-15,2010-12-19,FedEx,4.66,Delivered
538648,2010-12-15,2010-12-21,Royal Mail,3.07,Delivered
C538647,2010-12-13,2010-12-18,UPS,4.8,Delivered
538649,2010-12-14,2010-12-21,FedEx,2.71,Delivered
C538650,2010-12-15,2010-12-16,Hermes,5.19,Delivered
538651,2010-12-13,2010-12-17,DHL,5.3,Delivered
538652,2010-12-14,2010-12-16,DHL,7.39,Delivered
538653,2010-12-13,2010-12-15,FedEx,2.05,Delivered
538654,2010-12-15,2010-12-17,UPS,2.8,Delivered
538655,2010-12-14,2010-12-20,Royal Mail,2.73,Delivered
538656,2010-12-13,2010-12-18,DHL,5.26,Delivered
538657,2010-12-15,2010-12-22,UPS,5.59,Delivered
538658,2010-12-15,2010-12-20,DHL,5.08,Delivered
538659,2010-12-13,2010-12-19,Hermes,7.53,Delivered
538660,2010-12-13,2010-12-15,FedEx,5.64,Delivered
538661,2010-12-13,2010-12-18,UPS,2.91,Delivered
538662,2010-12-13,2010-12-19,FedEx,3.49,Delivered
538663,2010-12-13,2010-12-15,UPS,3.23,Delivered
538664,2010-12-14,2010-12-16,DHL,3.6,Delivered
538665,2010-12-14,2010-12-19,DHL,6.03,Delivered
538666,2010-12-13,2010-12-18,Hermes,1.44,Delivered
538667,2010-12-14,2010-12-16,FedEx,7.38,Delivered
538668,2010-12-13,2010-12-15,UPS,3.74,Delivered
538669,2010-12-14,2010-12-16,Royal Mail,7.42,Delivered
C538670,2010-12-15,2010-12-21,UPS,5.25,Delivered
538671,2010-12-13,2010-12-18,Royal Mail,6.9,Delivered
538678,2010-12-15,2010-12-16,Hermes,8.87,Delivered
538679,2010-12-15,2010-12-22,Royal Mail,7.45,Delivered
C538680,2010-12-15,2010-12-20,Royal Mail,6.62,Delivered
C538681,2010-12-15,2010-12-21,UPS,3.09,Delivered
C538682,2010-12-13,2010-12-19,Hermes,4.73,Delivered
538683,2010-12-14,2010-12-16,UPS,5.48,Delivered
C538684,2010-12-16,2010-12-23,Hermes,3.1,Delivered
538685,2010-12-14,2010-12-18,DHL,4.9,Delivered
C538686,2010-12-14,2010-12-17,Hermes,8.41,Delivered
538687,2010-12-16,2010-12-20,FedEx,6.18,Delivered
538688,2010-12-14,2010-12-19,Hermes,7.92,Delivered
538689,2010-12-14,2010-12-19,Royal Mail,4.04,Delivered
C538690,2010-12-15,2010-12-19,FedEx,5.96,Delivered
C538691,2010-12-14,2010-12-16,UPS,4.11,Delivered
C538692,2010-12-16,2010-12-20,Hermes,3.75,Delivered
C538693,2010-12-15,2010-12-20,FedEx,7.01,Delivered
C538694,2010-12-14,2010-12-18,Hermes,4.9,Delivered
C538695,2010-12-16,2010-12-20,DHL,3.26,Delivered
C538696,2010-12-15,2010-12-18,Hermes,6.85,Delivered
